N_value,P_value,K_value,Fertilizer
0.47,         10.00,         0.61,         100
0.84,         10.00,         0.67,         90
0.31,         15.00,         0.68,         100
0.50,         19.00,         0.72,         100
0.37,         19.00,         0.51,         100
0.90,         13.00,         0.72,         90
0.97,         12.00,         0.37,         80
0.73,         15.00,         0.33,         80
0.64,         18.00,         0.62,         90
0.80,         13.00,         0.37,         80
0.80,         14.00,         0.45,         80
0.90,         19.00,         0.56,         80
0.43,         13.00,         0.70,         100
0.51,         19.00,         0.53,         80
0.49,         15.00,         0.38,         100
0.90,         18.00,         0.32,         80
0.76,         10.00,         0.33,         80
0.47,         17.00,         0.44,         100
0.59,         17.00,         0.66,         90
0.63,         10.00,         0.42,         80
0.97,         16.00,         0.38,         80
0.87,         10.00,         0.48,         80
0.45,         16.00,         0.48,         100
0.51,         11.00,         0.64,         90
0.93,         12.00,         0.61,         90
0.83,         18.00,         0.62,         90
0.31,         17.00,         0.55,         100
0.44,         18.00,         0.64,         100
0.84,         16.00,         0.49,         80
0.40,         15.00,         0.39,         100
0.93,         17.00,         0.44,         80
0.65,         14.00,         0.66,         90
0.55,         17.00,         0.43,         80
0.72,         11.00,         0.35,         80
0.88,         19.00,         0.50,         80
0.38,         19.00,         0.63,         100
0.96,         16.00,         0.65,         90
0.95,         13.00,         0.40,         80
0.70,         12.00,         0.67,         90
0.97,         17.00,         0.59,         80
0.43,         17.00,         0.66,         100
0.48,         14.00,         0.49,         100
0.84,         11.00,         0.66,         90
0.36,         10.00,         0.58,         100
0.86,         13.00,         0.34,         80
0.87,         10.00,         0.49,         80
0.32,         12.00,         0.63,         100
0.88,         14.00,         0.53,         80
0.50,         18.00,         0.43,         80
0.74,         18.00,         0.66,         90
0.84,         11.00,         0.52,         80
0.57,         14.00,         0.38,         80
0.43,         15.00,         0.49,         100
0.74,         10.00,         0.40,         80
0.59,         15.00,         0.45,         80
0.39,         19.00,         0.53,         100
0.38,         16.00,         0.56,         100
0.49,         14.00,         0.51,         100
0.31,         16.00,         0.47,         100
0.72,         13.00,         0.61,         90
0.72,         16.00,         0.71,         90
0.62,         13.00,         0.34,         80
0.98,         10.00,         0.58,         80
0.85,         11.00,         0.58,         80
0.33,         13.00,         0.39,         100
0.88,         12.00,         0.68,         90
0.65,         19.00,         0.53,         80
0.36,         14.00,         0.48,         100
0.63,         13.00,         0.38,         80
0.59,         15.00,         0.50,         80
0.73,         13.00,         0.31,         80
0.88,         18.00,         0.70,         90
0.99,         12.00,         0.57,         80
0.37,         10.00,         0.35,         100
0.92,         17.00,         0.41,         80
0.35,         16.00,         0.69,         100
0.30,         16.00,         0.39,         100
0.68,         16.00,         0.54,         80
0.35,         13.00,         0.72,         100
0.75,         17.00,         0.43,         80
0.65,         15.00,         0.57,         80
0.44,         18.00,         0.63,         100
0.71,         16.00,         0.45,         80
0.75,         15.00,         0.40,         80
0.60,         17.00,         0.69,         90
0.66,         13.00,         0.42,         80
0.90,         14.00,         0.32,         80
0.78,         11.00,         0.61,         90
0.97,         18.00,         0.36,         80
0.99,         10.00,         0.55,         80
0.62,         10.00,         0.58,         80
0.81,         17.00,         0.41,         80
0.78,         15.00,         0.65,         90
0.79,         14.00,         0.31,         80
0.67,         16.00,         0.64,         90
0.71,         15.00,         0.53,         80
0.73,         12.00,         0.59,         80
0.92,         18.00,         0.47,         80
0.43,         10.00,         0.33,         100
0.87,         15.00,         0.65,         90
0.74,         18.00,         0.37,         80
0.83,         15.00,         0.33,         80
0.47,         15.00,         0.71,         100
0.59,         10.00,         0.51,         80
0.80,         13.00,         0.46,         80
0.66,         12.00,         0.59,         80
0.66,         13.00,         0.34,         80
0.82,         14.00,         0.31,         80
0.93,         17.00,         0.56,         80
0.62,         13.00,         0.61,         90
0.96,         16.00,         0.42,         80
0.65,         17.00,         0.60,         80
0.62,         18.00,         0.62,         90
0.91,         14.00,         0.69,         90
0.53,         14.00,         0.64,         90
0.42,         10.00,         0.45,         100
0.57,         17.00,         0.50,         80
0.85,         16.00,         0.49,         80
0.66,         10.00,         0.62,         90
0.34,         15.00,         0.43,         100
0.75,         16.00,         0.67,         90
0.64,         18.00,         0.59,         80
0.61,         19.00,         0.40,         80
0.72,         15.00,         0.50,         80
0.73,         12.00,         0.64,         90
0.86,         17.00,         0.63,         90
0.50,         18.00,         0.52,         80
0.97,         19.00,         0.50,         80
0.31,         11.00,         0.42,         100
0.34,         10.00,         0.34,         100
0.60,         19.00,         0.41,         80
0.86,         11.00,         0.56,         80
0.33,         19.00,         0.34,         100
0.32,         15.00,         0.64,         100
0.34,         14.00,         0.34,         100
0.33,         12.00,         0.72,         100
0.75,         11.00,         0.67,         90
0.95,         12.00,         0.36,         80
0.66,         19.00,         0.31,         80
0.50,         17.00,         0.39,         80
0.72,         18.00,         0.45,         80
0.43,         10.00,         0.45,         100
1.00,         17.00,         0.52,         80
0.82,         19.00,         0.35,         80
0.75,         11.00,         0.32,         80
0.92,         19.00,         0.32,         80
0.62,         15.00,         0.68,         90
0.54,         10.00,         0.39,         80
0.47,         14.00,         0.72,         100
0.60,         15.00,         0.61,         90
0.37,         11.00,         0.66,         100
0.72,         16.00,         0.34,         80
0.97,         12.00,         0.45,         80
0.46,         19.00,         0.65,         100
0.85,         15.00,         0.31,         80
0.66,         14.00,         0.33,         80
0.64,         14.00,         0.42,         80
0.99,         15.00,         0.71,         90
0.43,         17.00,         0.63,         100
0.49,         18.00,         0.37,         100
0.91,         17.00,         0.65,         90
0.89,         17.00,         0.48,         80
0.76,         11.00,         0.33,         80
0.72,         19.00,         0.51,         80
0.51,         12.00,         0.56,         80
0.59,         17.00,         0.40,         80
0.33,         15.00,         0.68,         100
0.60,         12.00,         0.34,         80
0.53,         16.00,         0.54,         80
0.85,         10.00,         0.62,         90
0.95,         16.00,         0.45,         80
0.38,         10.00,         0.68,         100
0.37,         16.00,         0.38,         100
0.84,         12.00,         0.61,         90
0.57,         14.00,         0.42,         80
0.32,         11.00,         0.59,         100
0.51,         17.00,         0.66,         90
0.36,         17.00,         0.64,         100
0.61,         18.00,         0.47,         80
0.36,         13.00,         0.44,         100
0.40,         18.00,         0.40,         100
0.52,         11.00,         0.55,         80
0.67,         16.00,         0.34,         80
0.43,         17.00,         0.61,         100
0.58,         14.00,         0.56,         80
0.53,         19.00,         0.30,         80
0.40,         14.00,         0.59,         100
0.98,         19.00,         0.34,         80
0.53,         10.00,         0.48,         80
0.69,         15.00,         0.34,         80
0.90,         17.00,         0.57,         80
0.48,         15.00,         0.52,         100
0.54,         12.00,         0.61,         90
0.49,         10.00,         0.36,         100
0.67,         10.00,         0.61,         90
0.75,         16.00,         0.41,         80
0.83,         16.00,         0.30,         80
0.51,         19.00,         0.31,         80
0.47,         14.00,         0.35,         100
0.88,         15.00,         0.61,         90
0.40,         12.00,         0.41,         100
0.45,         15.00,         0.43,         100
0.65,         11.00,         0.30,         80
0.80,         17.00,         0.39,         80
0.92,         14.00,         0.71,         90
0.55,         18.00,         0.36,         80
1.00,         16.00,         0.38,         80
0.56,         17.00,         0.57,         80
0.76,         16.00,         0.36,         80
0.38,         14.00,         0.61,         100
0.62,         16.00,         0.55,         80
0.64,         17.00,         0.69,         90
0.75,         17.00,         0.59,         80
0.54,         18.00,         0.31,         80
0.89,         17.00,         0.50,         80
0.41,         17.00,         0.58,         100
0.31,         18.00,         0.35,         100
1.00,         16.00,         0.50,         80
0.93,         15.00,         0.34,         80
0.55,         13.00,         0.36,         80
0.97,         17.00,         0.37,         80
0.51,         13.00,         0.61,         90
0.89,         11.00,         0.62,         90
0.96,         17.00,         0.69,         90
0.83,         18.00,         0.54,         80
0.81,         19.00,         0.59,         80
0.34,         14.00,         0.70,         100
0.90,         19.00,         0.48,         80
0.56,         19.00,         0.54,         80
0.48,         15.00,         0.60,         100
0.42,         12.00,         0.43,         100
0.89,         16.00,         0.52,         80
0.68,         18.00,         0.56,         80
0.56,         14.00,         0.49,         80
0.95,         10.00,         0.47,         80
0.46,         11.00,         0.39,         100
0.53,         12.00,         0.33,         80
0.62,         13.00,         0.65,         90
0.33,         14.00,         0.63,         100
0.97,         16.00,         0.52,         80
0.96,         18.00,         0.49,         80
0.37,         15.00,         0.55,         100
0.84,         11.00,         0.62,         90
0.60,         19.00,         0.51,         80
0.76,         18.00,         0.72,         90
0.42,         14.00,         0.43,         100
0.35,         14.00,         0.64,         100
0.32,         15.00,         0.60,         100
0.43,         17.00,         0.61,         100
0.92,         12.00,         0.59,         80
0.87,         12.00,         0.58,         80
0.56,         17.00,         0.47,         80
0.88,         16.00,         0.69,         90
0.83,         16.00,         0.36,         80
0.73,         13.00,         0.59,         80
0.50,         15.00,         0.41,         80
0.92,         12.00,         0.68,         90
0.84,         15.00,         0.34,         80
0.56,         15.00,         0.56,         80
0.36,         10.00,         0.68,         100
0.30,         11.00,         0.39,         100
0.77,         14.00,         0.49,         80
0.31,         10.00,         0.58,         100
0.31,         18.00,         0.51,         100
0.38,         18.00,         0.42,         100
0.74,         13.00,         0.48,         80
0.91,         12.00,         0.32,         80
0.80,         13.00,         0.63,         90
0.87,         12.00,         0.54,         80
0.38,         12.00,         0.50,         100
0.62,         10.00,         0.36,         80
0.77,         12.00,         0.33,         80
0.32,         19.00,         0.36,         100
0.52,         19.00,         0.35,         80
0.34,         16.00,         0.48,         100
0.83,         17.00,         0.45,         80
0.53,         10.00,         0.45,         80
0.84,         19.00,         0.57,         80
0.84,         14.00,         0.33,         80
0.97,         18.00,         0.45,         80
0.92,         10.00,         0.41,         80
0.34,         12.00,         0.34,         100
0.59,         13.00,         0.36,         80
0.44,         10.00,         0.57,         100
0.64,         19.00,         0.71,         90
0.43,         18.00,         0.65,         100
0.51,         14.00,         0.73,         90
0.74,         13.00,         0.66,         90
0.36,         13.00,         0.38,         100
0.63,         14.00,         0.58,         80
0.57,         10.00,         0.60,         80
0.41,         16.00,         0.36,         100
0.81,         19.00,         0.45,         80
0.41,         11.00,         0.50,         100
0.66,         19.00,         0.65,         90
0.42,         19.00,         0.39,         100
0.54,         16.00,         0.35,         80
0.58,         10.00,         0.66,         90
0.82,         10.00,         0.70,         90
0.46,         11.00,         0.45,         100
0.74,         18.00,         0.64,         90
0.82,         16.00,         0.59,         80
0.95,         11.00,         0.54,         80
0.52,         18.00,         0.71,         90
0.98,         17.00,         0.58,         80
0.64,         17.00,         0.54,         80
0.48,         16.00,         0.53,         100
0.46,         19.00,         0.58,         100
0.73,         10.00,         0.49,         80
0.80,         10.00,         0.44,         80
0.53,         15.00,         0.59,         80
0.98,         11.00,         0.71,         90
0.99,         19.00,         0.68,         90
0.79,         16.00,         0.63,         90
0.40,         11.00,         0.49,         100
0.64,         17.00,         0.54,         80
0.88,         19.00,         0.61,         90
0.50,         13.00,         0.60,         100
0.41,         11.00,         0.34,         100
0.83,         19.00,         0.62,         90
0.42,         14.00,         0.43,         100
0.79,         10.00,         0.49,         80
0.32,         18.00,         0.53,         100
0.84,         10.00,         0.38,         80
0.77,         16.00,         0.36,         80
0.84,         11.00,         0.41,         80
0.78,         11.00,         0.45,         80
0.67,         17.00,         0.60,         90
0.40,         13.00,         0.58,         100
0.87,         17.00,         0.71,         90
0.48,         10.00,         0.54,         100
0.74,         15.00,         0.45,         80
0.67,         10.00,         0.40,         80
0.80,         11.00,         0.30,         80
0.88,         17.00,         0.48,         80
0.76,         15.00,         0.32,         80
0.44,         10.00,         0.47,         100
0.87,         19.00,         0.34,         80
0.53,         17.00,         0.34,         80
0.58,         18.00,         0.41,         80
0.67,         18.00,         0.38,         80
0.45,         14.00,         0.72,         100
0.97,         15.00,         0.38,         80
0.92,         10.00,         0.52,         80
0.34,         17.00,         0.40,         100
0.80,         19.00,         0.52,         80
0.46,         16.00,         0.36,         100
0.95,         15.00,         0.45,         80
0.37,         12.00,         0.62,         100
0.79,         17.00,         0.40,         80
0.88,         16.00,         0.61,         90
0.93,         11.00,         0.41,         80
0.95,         15.00,         0.68,         90
0.98,         15.00,         0.52,         80
0.59,         17.00,         0.73,         90
0.40,         14.00,         0.50,         100
0.84,         16.00,         0.58,         80
0.89,         18.00,         0.50,         80
0.44,         14.00,         0.31,         100
0.62,         14.00,         0.45,         80
0.43,         10.00,         0.64,         100
0.38,         13.00,         0.70,         100
0.72,         17.00,         0.65,         90
0.38,         11.00,         0.46,         100
0.44,         19.00,         0.59,         100
0.81,         13.00,         0.68,         90
0.86,         10.00,         0.45,         80
0.48,         16.00,         0.64,         100
0.64,         19.00,         0.47,         80
0.91,         18.00,         0.68,         90
0.80,         15.00,         0.65,         90
0.98,         11.00,         0.51,         80
0.49,         14.00,         0.44,         100
0.95,         14.00,         0.39,         80
0.71,         14.00,         0.33,         80
0.36,         15.00,         0.42,         100
0.36,         10.00,         0.39,         100
0.96,         19.00,         0.31,         80
0.56,         18.00,         0.56,         80
0.87,         13.00,         0.54,         80
0.78,         10.00,         0.43,         80
0.46,         14.00,         0.73,         100
0.51,         17.00,         0.42,         80
0.51,         19.00,         0.66,         90
0.68,         16.00,         0.42,         80
0.49,         17.00,         0.66,         100
0.71,         17.00,         0.46,         80
0.52,         14.00,         0.40,         80
0.44,         17.00,         0.66,         100
0.80,         16.00,         0.54,         80
0.72,         19.00,         0.64,         90
0.42,         19.00,         0.38,         100
0.91,         18.00,         0.68,         90
0.82,         13.00,         0.59,         80
0.68,         14.00,         0.55,         80
0.71,         15.00,         0.39,         80
0.52,         12.00,         0.41,         80
0.95,         10.00,         0.41,         80
0.39,         12.00,         0.67,         100
0.95,         14.00,         0.69,         90
0.77,         13.00,         0.65,         90
0.38,         11.00,         0.70,         100
0.67,         12.00,         0.42,         80
0.37,         15.00,         0.47,         100
0.30,         14.00,         0.58,         100
0.65,         18.00,         0.40,         80
0.54,         15.00,         0.72,         90
0.94,         17.00,         0.39,         80
0.89,         16.00,         0.60,         80
0.43,         14.00,         0.56,         100
0.38,         11.00,         0.31,         100
0.40,         18.00,         0.31,         100
0.68,         10.00,         0.71,         90
0.86,         13.00,         0.44,         80
0.77,         19.00,         0.72,         90
0.77,         15.00,         0.72,         90
0.75,         15.00,         0.47,         80
0.59,         16.00,         0.32,         80
0.43,         11.00,         0.34,         100
0.51,         12.00,         0.67,         90
0.66,         18.00,         0.34,         80
0.39,         15.00,         0.44,         100
0.42,         14.00,         0.54,         100
0.30,         19.00,         0.41,         100
0.40,         17.00,         0.67,         100
0.47,         14.00,         0.53,         100
0.41,         11.00,         0.32,         100
0.74,         14.00,         0.46,         80
0.63,         17.00,         0.49,         80
0.80,         14.00,         0.69,         90
0.89,         18.00,         0.64,         90
0.33,         17.00,         0.40,         100
0.41,         12.00,         0.31,         100
0.48,         15.00,         0.55,         100
0.62,         18.00,         0.33,         80
0.59,         13.00,         0.70,         90
0.62,         15.00,         0.72,         90
0.86,         17.00,         0.37,         80
0.91,         13.00,         0.70,         90
0.98,         11.00,         0.68,         90
0.35,         14.00,         0.63,         100
0.93,         18.00,         0.61,         90
0.96,         19.00,         0.36,         80
0.68,         17.00,         0.48,         80
0.67,         13.00,         0.59,         80
0.44,         16.00,         0.51,         100
0.73,         14.00,         0.54,         80
0.50,         16.00,         0.59,         80
0.42,         16.00,         0.43,         100
0.46,         19.00,         0.68,         100
0.79,         18.00,         0.33,         80
0.31,         10.00,         0.67,         100
0.77,         14.00,         0.58,         80
0.60,         11.00,         0.31,         80
0.78,         10.00,         0.58,         80
0.65,         19.00,         0.53,         80
0.31,         16.00,         0.67,         100
0.95,         11.00,         0.57,         80
0.56,         16.00,         0.66,         90
0.54,         10.00,         0.63,         90
0.83,         12.00,         0.52,         80
0.58,         18.00,         0.53,         80
0.69,         11.00,         0.48,         80
0.69,         12.00,         0.73,         90
0.35,         14.00,         0.54,         100
0.49,         16.00,         0.31,         100
0.71,         10.00,         0.52,         80
0.80,         19.00,         0.66,         90
0.44,         12.00,         0.32,         100
0.34,         10.00,         0.35,         100
0.57,         16.00,         0.37,         80
0.98,         15.00,         0.55,         80
0.58,         18.00,         0.30,         80
0.88,         18.00,         0.40,         80
0.47,         13.00,         0.59,         100
0.32,         13.00,         0.55,         100
0.53,         14.00,         0.66,         90
0.71,         10.00,         0.59,         80
0.72,         16.00,         0.67,         90
0.98,         19.00,         0.61,         90
0.97,         16.00,         0.51,         80
0.69,         10.00,         0.48,         80
0.73,         13.00,         0.70,         90
0.84,         13.00,         0.57,         80
0.74,         10.00,         0.65,         90
0.56,         13.00,         0.41,         80
0.82,         12.00,         0.37,         80
0.49,         16.00,         0.57,         100
0.91,         15.00,         0.62,         90
0.47,         16.00,         0.33,         100
0.44,         15.00,         0.66,         100
0.97,         12.00,         0.61,         90
0.42,         16.00,         0.66,         100
0.65,         14.00,         0.64,         90
0.40,         17.00,         0.53,         100
0.83,         10.00,         0.35,         80
0.51,         10.00,         0.65,         90
0.51,         17.00,         0.40,         80
0.83,         18.00,         0.39,         80
0.64,         15.00,         0.42,         80
0.80,         16.00,         0.68,         90
0.71,         18.00,         0.70,         90
0.62,         17.00,         0.64,         90
0.68,         11.00,         0.60,         80
0.97,         13.00,         0.38,         80
0.40,         17.00,         0.49,         100
0.95,         19.00,         0.55,         80
0.52,         17.00,         0.56,         80
0.49,         10.00,         0.69,         100
0.76,         14.00,         0.63,         90
0.98,         19.00,         0.40,         80
0.75,         18.00,         0.66,         90
0.38,         17.00,         0.67,         100
0.98,         14.00,         0.30,         80
0.44,         11.00,         0.67,         100
0.85,         11.00,         0.72,         90
0.89,         13.00,         0.60,         90
0.96,         14.00,         0.62,         90
0.31,         17.00,         0.65,         100
0.71,         11.00,         0.44,         80
0.62,         15.00,         0.45,         80
0.91,         14.00,         0.65,         90
0.83,         16.00,         0.64,         90
0.35,         17.00,         0.72,         100
0.81,         14.00,         0.35,         80
0.94,         17.00,         0.58,         80
0.32,         19.00,         0.72,         100
0.89,         16.00,         0.72,         90
0.41,         17.00,         0.50,         100
0.40,         11.00,         0.66,         100
0.85,         13.00,         0.46,         80
0.40,         19.00,         0.42,         100
0.47,         17.00,         0.38,         100
0.52,         19.00,         0.64,         90
0.70,         10.00,         0.36,         80
0.76,         13.00,         0.38,         80
0.88,         15.00,         0.70,         90
0.67,         14.00,         0.69,         90
0.86,         19.00,         0.72,         90
0.39,         18.00,         0.56,         100
0.86,         17.00,         0.71,         90
0.77,         17.00,         0.65,         90
0.67,         10.00,         0.50,         80
0.87,         19.00,         0.44,         80
0.35,         18.00,         0.56,         100
0.39,         10.00,         0.30,         100
0.35,         19.00,         0.42,         100
0.43,         12.00,         0.44,         100
0.63,         19.00,         0.32,         80
0.76,         12.00,         0.61,         90
0.41,         15.00,         0.65,         100
0.75,         16.00,         0.65,         90
0.81,         14.00,         0.52,         80
0.77,         17.00,         0.46,         80
0.36,         12.00,         0.59,         100
0.79,         14.00,         0.48,         80
0.54,         15.00,         0.33,         80
0.79,         15.00,         0.32,         80
0.54,         13.00,         0.41,         80
0.39,         11.00,         0.42,         100
0.94,         14.00,         0.56,         80
0.76,         10.00,         0.63,         90
0.62,         17.00,         0.62,         90
0.32,         17.00,         0.61,         100
0.51,         16.00,         0.41,         80
0.40,         14.00,         0.51,         100
0.61,         10.00,         0.68,         90
0.90,         11.00,         0.58,         80
0.43,         14.00,         0.36,         100
0.93,         18.00,         0.69,         90
0.81,         12.00,         0.70,         90
0.34,         19.00,         0.42,         100
0.80,         14.00,         0.63,         90
0.41,         16.00,         0.43,         100
0.43,         13.00,         0.62,         100
0.75,         16.00,         0.62,         90
0.60,         17.00,         0.61,         90
0.32,         15.00,         0.39,         100
0.71,         19.00,         0.41,         80
0.94,         16.00,         0.65,         90
0.48,         12.00,         0.49,         100
0.83,         16.00,         0.34,         80
0.59,         10.00,         0.43,         80
0.85,         14.00,         0.55,         80
0.52,         15.00,         0.60,         80
0.48,         14.00,         0.36,         100
0.71,         16.00,         0.62,         90
0.41,         19.00,         0.51,         100
0.64,         14.00,         0.32,         80
0.81,         13.00,         0.63,         90
0.82,         16.00,         0.54,         80
0.41,         10.00,         0.40,         100
0.97,         17.00,         0.62,         90
0.83,         16.00,         0.54,         80
0.44,         13.00,         0.51,         100
0.38,         18.00,         0.46,         100
0.33,         16.00,         0.66,         100
0.94,         10.00,         0.54,         80
0.30,         18.00,         0.73,         100
0.42,         18.00,         0.40,         100
0.44,         10.00,         0.31,         100
0.97,         16.00,         0.61,         90
0.65,         12.00,         0.68,         90
0.45,         15.00,         0.47,         100
0.45,         10.00,         0.67,         100
0.60,         18.00,         0.34,         80
0.32,         11.00,         0.32,         100
0.96,         14.00,         0.35,         80
0.74,         12.00,         0.45,         80
1.57,         18.00,         0.48,         40
1.18,         13.00,         0.72,         50
1.51,         15.00,         0.65,         50
1.94,         17.00,         0.45,         40
1.83,         14.00,         0.44,         40
2.03,         10.00,         0.32,         40
1.07,         18.00,         0.54,         40
2.21,         16.00,         0.40,         20
1.41,         15.00,         0.51,         40
1.37,         14.00,         0.58,         40
2.32,         12.00,         0.36,         20
1.46,         19.00,         0.45,         40
2.23,         16.00,         0.60,         20
1.05,         17.00,         0.72,         50
1.54,         16.00,         0.52,         40
2.33,         18.00,         0.66,         20
1.68,         19.00,         0.60,         40
1.19,         14.00,         0.38,         40
2.34,         13.00,         0.55,         20
1.31,         10.00,         0.52,         40
1.97,         18.00,         0.36,         40
2.36,         14.00,         0.61,         20
1.04,         13.00,         0.37,         40
1.07,         14.00,         0.54,         40
1.48,         11.00,         0.69,         50
1.61,         12.00,         0.33,         40
1.55,         10.00,         0.39,         40
1.53,         14.00,         0.40,         40
1.40,         12.00,         0.63,         50
1.72,         18.00,         0.48,         40
1.15,         13.00,         0.70,         50
1.34,         15.00,         0.70,         50
2.28,         11.00,         0.46,         20
1.27,         10.00,         0.49,         40
1.36,         18.00,         0.42,         40
1.40,         16.00,         0.59,         40
1.84,         13.00,         0.56,         40
1.19,         11.00,         0.41,         40
1.32,         15.00,         0.44,         40
2.12,         18.00,         0.71,         20
1.58,         12.00,         0.31,         40
1.65,         11.00,         0.60,         40
2.00,         12.00,         0.33,         40
1.08,         15.00,         0.49,         40
1.24,         18.00,         0.42,         40
1.52,         15.00,         0.59,         40
1.46,         14.00,         0.72,         50
1.15,         13.00,         0.66,         50
2.11,         17.00,         0.66,         20
1.93,         12.00,         0.47,         40
1.30,         15.00,         0.57,         40
2.11,         13.00,         0.59,         20
1.37,         10.00,         0.52,         40
1.82,         13.00,         0.39,         40
1.47,         17.00,         0.39,         40
1.30,         19.00,         0.70,         50
1.87,         19.00,         0.34,         40
1.66,         13.00,         0.57,         40
1.36,         15.00,         0.36,         40
1.48,         18.00,         0.32,         40
2.20,         15.00,         0.52,         20
2.17,         14.00,         0.52,         20
2.13,         13.00,         0.58,         20
1.47,         18.00,         0.41,         40
1.13,         19.00,         0.38,         40
1.74,         14.00,         0.70,         50
1.63,         14.00,         0.66,         50
1.86,         10.00,         0.46,         40
1.96,         12.00,         0.64,         50
1.99,         10.00,         0.69,         50
1.14,         13.00,         0.62,         50
1.78,         16.00,         0.42,         40
1.17,         13.00,         0.66,         50
1.37,         19.00,         0.49,         40
1.46,         15.00,         0.66,         50
1.04,         15.00,         0.60,         40
2.25,         19.00,         0.56,         20
1.63,         14.00,         0.62,         50
1.06,         10.00,         0.59,         40
1.57,         18.00,         0.54,         40
1.11,         10.00,         0.58,         40
1.61,         11.00,         0.59,         40
1.52,         15.00,         0.64,         50
1.91,         19.00,         0.39,         40
1.35,         12.00,         0.60,         50
2.16,         10.00,         0.50,         20
1.77,         12.00,         0.44,         40
1.00,         11.00,         0.47,         80
1.34,         16.00,         0.51,         40
1.07,         11.00,         0.67,         50
2.02,         18.00,         0.60,         50
2.38,         16.00,         0.71,         20
1.64,         14.00,         0.71,         50
1.17,         10.00,         0.42,         40
1.08,         19.00,         0.58,         40
2.00,         13.00,         0.49,         40
1.39,         11.00,         0.31,         40
1.91,         11.00,         0.69,         50
2.17,         11.00,         0.54,         20
1.49,         13.00,         0.33,         40
1.57,         11.00,         0.59,         40
1.22,         17.00,         0.49,         40
1.11,         12.00,         0.48,         40
1.66,         19.00,         0.65,         50
1.92,         12.00,         0.61,         50
1.15,         18.00,         0.70,         50
1.56,         14.00,         0.66,         50
1.13,         19.00,         0.35,         40
1.93,         19.00,         0.34,         40
1.48,         19.00,         0.58,         40
1.89,         11.00,         0.63,         50
1.08,         13.00,         0.72,         50
1.42,         12.00,         0.66,         50
1.09,         16.00,         0.32,         40
2.00,         11.00,         0.65,         50
1.08,         11.00,         0.50,         40
1.03,         16.00,         0.59,         40
2.03,         17.00,         0.62,         50
1.99,         13.00,         0.71,         50
2.14,         10.00,         0.44,         20
1.15,         19.00,         0.48,         40
2.06,         19.00,         0.65,         50
1.94,         13.00,         0.44,         40
2.35,         15.00,         0.52,         20
1.29,         10.00,         0.53,         40
1.87,         12.00,         0.46,         40
1.55,         16.00,         0.65,         50
1.82,         17.00,         0.42,         40
1.96,         10.00,         0.60,         50
1.85,         14.00,         0.71,         50
1.68,         14.00,         0.68,         50
1.42,         11.00,         0.54,         40
1.77,         18.00,         0.55,         40
2.34,         15.00,         0.72,         20
2.03,         15.00,         0.43,         20
1.78,         15.00,         0.68,         50
2.00,         10.00,         0.66,         50
2.04,         10.00,         0.60,         50
1.11,         16.00,         0.52,         40
2.31,         10.00,         0.63,         20
1.61,         10.00,         0.50,         40
1.74,         11.00,         0.42,         40
2.18,         16.00,         0.56,         20
1.52,         19.00,         0.42,         40
1.13,         10.00,         0.32,         40
1.31,         18.00,         0.44,         40
1.33,         17.00,         0.43,         40
1.56,         15.00,         0.37,         40
1.49,         19.00,         0.67,         50
1.90,         12.00,         0.46,         40
1.08,         10.00,         0.41,         40
1.59,         12.00,         0.55,         40
1.44,         17.00,         0.45,         40
1.55,         18.00,         0.62,         50
1.39,         16.00,         0.68,         50
1.48,         11.00,         0.32,         40
1.27,         16.00,         0.36,         40
1.61,         18.00,         0.31,         40
2.06,         19.00,         0.69,         50
1.07,         18.00,         0.49,         40
2.39,         15.00,         0.56,         20
2.01,         11.00,         0.43,         20
1.29,         15.00,         0.52,         40
1.79,         13.00,         0.72,         50
1.56,         12.00,         0.57,         40
1.15,         17.00,         0.54,         40
1.50,         18.00,         0.42,         40
1.06,         18.00,         0.65,         50
2.25,         17.00,         0.67,         20
1.99,         12.00,         0.53,         40
1.09,         17.00,         0.34,         40
1.67,         14.00,         0.62,         50
1.94,         14.00,         0.52,         40
1.60,         11.00,         0.46,         40
1.04,         15.00,         0.43,         40
1.73,         13.00,         0.31,         40
1.32,         16.00,         0.57,         40
2.03,         12.00,         0.68,         50
1.24,         18.00,         0.49,         40
2.05,         12.00,         0.37,         40
1.76,         16.00,         0.49,         40
1.50,         16.00,         0.56,         40
1.68,         16.00,         0.45,         40
2.20,         19.00,         0.40,         20
1.72,         16.00,         0.40,         40
2.04,         15.00,         0.41,         40
2.33,         12.00,         0.43,         20
1.58,         16.00,         0.64,         50
1.69,         17.00,         0.70,         50
1.52,         11.00,         0.65,         50
1.48,         10.00,         0.37,         40
1.31,         12.00,         0.31,         40
1.83,         19.00,         0.49,         40
1.05,         12.00,         0.68,         50
2.30,         16.00,         0.71,         20
1.72,         13.00,         0.68,         50
2.02,         10.00,         0.31,         40
2.00,         10.00,         0.40,         40
1.30,         19.00,         0.45,         40
1.98,         18.00,         0.36,         40
2.28,         10.00,         0.39,         20
1.60,         16.00,         0.62,         50
1.53,         16.00,         0.33,         40
2.38,         18.00,         0.64,         20
1.39,         17.00,         0.62,         50
1.90,         15.00,         0.62,         50
2.22,         10.00,         0.71,         20
1.02,         12.00,         0.68,         50
2.02,         17.00,         0.39,         40
1.61,         13.00,         0.39,         40
1.19,         11.00,         0.49,         40
1.26,         11.00,         0.60,         40
1.38,         17.00,         0.44,         40
